University,Metric,2020-21,2021-22,2022-23,2023-24,2024-25,Updated
OCADu,03. Graduation rate,631025,441717,567922,694127,757230,"Saturday November 28, 2020"
OCADu,04. Community and local impact of student enrolment,1893074,2208586,2839611,3470635,3786148,"Saturday November 28, 2020"
OCADu,05. Economic impact (institution-specific),631025,883434,1135844,1388254,1363013,"Saturday November 28, 2020"
OCADu,06. Research funding and capacity: federal tri-agency funding secured,631025,441717,567922,694127,757230,"Saturday November 28, 2020"
OCADu,07. Experiential learning,0,883434,1135844,1388254,1514459,"Saturday November 28, 2020"
OCADu,08. Research revenue attracted from private sector sources,0,441717,567922,694127,908675,"Saturday November 28, 2020"
OCADu,09. Graduate employment earnings,0,441717,567922,694127,757230,"Saturday November 28, 2020"
OCADu,10. Skills and competencies,0,0,567922,694127,757230,"Saturday November 28, 2020"
OTU (UOIT),01. Graduate employment rate in a related field,1289112,952468,1260389,1568310,1722271,"Saturday November 28, 2020"
OTU (UOIT),02. Institutional strength and focus,3867337,2857404,3781168,4704931,5166813,"Saturday November 28, 2020"
OTU (UOIT),03. Graduation rate,1289112,952468,1260389,1568310,1722271,"Saturday November 28, 2020"
OTU (UOIT),04. Community and local impact of student enrolment,3867337,2857404,3781168,4704931,5166813,"Saturday November 28, 2020"
OTU (UOIT),05. Economic impact (institution-specific),1289112,2857404,3781168,4704931,5166813,"Saturday November 28, 2020"
OTU (UOIT),06. Research funding and capacity: federal tri-agency funding secured,1289112,952468,1260389,1568310,1722271,"Saturday November 28, 2020"
OTU (UOIT),07. Experiential learning,0,5714809,6301946,7841552,8611354,"Saturday November 28, 2020"
OTU (UOIT),08. Research revenue attracted from private sector sources,0,952468,1260389,1568310,1722271,"Saturday November 28, 2020"
OTU (UOIT),09. Graduate employment earnings,0,952468,1260389,1568310,1722271,"Saturday November 28, 2020"
OTU (UOIT),10. Skills and competencies,0,0,1260389,1568310,1722271,"Saturday November 28, 2020"
Queen's University,01. Graduate employment rate in a related field,7778270,10889578,9333924,11408129,12445232,"Saturday November 28, 2020"
Queen's University,02. Institutional strength and focus,7778270,7259719,9333924,11408129,12445232,"Saturday November 28, 2020"
Queen's University,03. Graduation rate,10371027,14519437,23334810,28520323,31113080,"Saturday November 28, 2020"
Queen's University,04. Community and local impact of student enrolment,15556540,21779156,23334810,28520323,31113080,"Saturday November 28, 2020"
Queen's University,05. Economic impact (institution-specific),5185513,3629859,4666962,5704065,6222616,"Saturday November 28, 2020"
Queen's University,06. Research funding and capacity: federal tri-agency funding secured,5185513,3629859,4666962,5704065,6222616,"Saturday November 28, 2020"
Queen's University,07. Experiential learning,0,3629859,4666962,5704065,6222616,"Saturday November 28, 2020"
Queen's University,08. Research revenue attracted from private sector sources,0,3629859,4666962,5704065,6222616,"Saturday November 28, 2020"
Queen's University,09. Graduate employment earnings,0,3629859,4666962,5704065,6222616,"Saturday November 28, 2020"
Queen's University,10. Skills and competencies,0,0,4666962,5704065,6222616,"Saturday November 28, 2020"
Ryerson University,01. Graduate employment rate in a related field,5771580,4236919,5588088,6939258,7589766,"Saturday November 28, 2020"
Ryerson University,02. Institutional strength and focus,17314740,25421515,27940442,34696289,37948832,"Saturday November 28, 2020"
Ryerson University,03. Graduation rate,11543160,8473838,11176177,13878516,15179533,"Saturday November 28, 2020"
Ryerson University,04. Community and local impact of student enrolment,11543160,16947676,27940442,34696289,37948832,"Saturday November 28, 2020"
Ryerson University,05. Economic impact (institution-specific),5771580,8473838,5588088,6939258,7589766,"Saturday November 28, 2020"
Ryerson University,06. Research funding and capacity: federal tri-agency funding secured,5771580,4236919,5588088,6939258,7589766,"Saturday November 28, 2020"
Ryerson University,07. Experiential learning,0,8473838,11176177,13878516,15179533,"Saturday November 28, 2020"
Ryerson University,08. Research revenue attracted from private sector sources,0,4236919,5588088,6939258,7589766,"Saturday November 28, 2020"
Ryerson University,09. Graduate employment earnings,0,4236919,5588088,6939258,7589766,"Saturday November 28, 2020"
Ryerson University,10. Skills and competencies,0,0,5588088,6939258,7589766,"Saturday November 28, 2020"
Trent University,01. Graduate employment rate in a related field,1313198,919239,1181878,1444518,1575837,"Saturday November 28, 2020"
Trent University,02. Institutional strength and focus,1969797,2757716,3545634,4333553,4727512,"Saturday November 28, 2020"
Trent University,03. Graduation rate,1313198,919239,1181878,1444518,1575837,"Saturday November 28, 2020"
Trent University,04. Community and local impact of student enrolment,4596193,5515431,5909390,7222588,7879187,"Saturday November 28, 2020"
Trent University,05. Economic impact (institution-specific),2626396,4596193,4727512,5778071,6303350,"Saturday November 28, 2020"
Trent University,06. Research funding and capacity: federal tri-agency funding secured,1313198,919239,1181878,1444518,1575837,"Saturday November 28, 2020"
Trent University,07. Experiential learning,0,919239,2363756,2889035,3151675,"Saturday November 28, 2020"
Trent University,08. Research revenue attracted from private sector sources,0,919239,1181878,1444518,1575837,"Saturday November 28, 2020"
Trent University,09. Graduate employment earnings,0,919239,1181878,1444518,1575837,"Saturday November 28, 2020"
Trent University,10. Skills and competencies,0,0,1181878,1444518,1575837,"Saturday November 28, 2020"
Université de Hearst,01. Graduate employment rate in a related field,64897,34906,37363,39821,41049,"Saturday November 28, 2020"
Université de Hearst,02. Institutional strength and focus,129795,34906,37363,39821,41049,"Saturday November 28, 2020"
Université de Hearst,03. Graduation rate,64897,34906,37363,39821,41049,"Saturday November 28, 2020"
Université de Hearst,04. Community and local impact of student enrolment,162243,34906,37363,39821,41049,"Saturday November 28, 2020"
Université de Hearst,05. Economic impact (institution-specific),227141,174530,186817,199104,205247,"Saturday November 28, 2020"
Université de Hearst,06. Research funding and capacity: federal tri-agency funding secured,0,0,186817,199104,205247,"Saturday November 28, 2020"
Université de Hearst,07. Experiential learning,0,209436,186817,199104,205247,"Saturday November 28, 2020"
Université de Hearst,07b.  Voluntary enrolment in Volet professionnel,,174530,186817,199104,205247,
Université de Hearst,08. Research revenue attracted from private sector sources,0,0,0,0,0,"Saturday November 28, 2020"
Université de Hearst,09. Graduate employment earnings,0,0,0,0,0,"Saturday November 28, 2020"
Université de Hearst,10. Skills and competencies,0,0,37363,39821,41049,"Saturday November 28, 2020"
University of Guelph,01. Graduate employment rate in a related field,5031248,3619410,4723230,5827049,6378959,"Saturday November 28, 2020"
University of Guelph,02. Institutional strength and focus,15093743,18097052,18892919,23308196,25515835,"Saturday November 28, 2020"
University of Guelph,03. Graduation rate,5031248,7238821,9446459,11654098,12757917,"Saturday November 28, 2020"
University of Guelph,04. Community and local impact of student enrolment,15093743,18097052,23616149,29135245,31894794,"Saturday November 28, 2020"
University of Guelph,05. Economic impact (institution-specific),5031248,7238821,9446459,11654098,12757917,"Saturday November 28, 2020"
University of Guelph,06. Research funding and capacity: federal tri-agency funding secured,5031248,3619410,4723230,5827049,6378959,"Saturday November 28, 2020"
University of Guelph,07. Experiential learning,0,7238821,9446459,11654098,12757917,"Saturday November 28, 2020"
University of Guelph,08. Research revenue attracted from private sector sources,0,3619410,4723230,5827049,6378959,"Saturday November 28, 2020"
University of Guelph,09. Graduate employment earnings,0,3619410,4723230,5827049,6378959,"Saturday November 28, 2020"
University of Guelph,10. Skills and competencies,0,0,4723230,5827049,6378959,"Saturday November 28, 2020"
University of Ottawa,01. Graduate employment rate in a related field,6783167,4838133,6284726,7731320,8454616,"Saturday November 28, 2020"
University of Ottawa,02. Institutional strength and focus,13566333,19352533,25138906,30925279,33818465,"Saturday November 28, 2020"
University of Ottawa,03. Graduation rate,10174750,4838133,6284726,7731320,8454616,"Saturday November 28, 2020"
University of Ottawa,04. Community and local impact of student enrolment,10174750,9676267,12569453,15462639,16909232,"Saturday November 28, 2020"
University of Ottawa,05. Economic impact (institution-specific),16957916,24190667,31423632,38656598,42273081,"Saturday November 28, 2020"
University of Ottawa,06. Research funding and capacity: federal tri-agency funding secured,10174750,4838133,6284726,7731320,8454616,"Saturday November 28, 2020"
University of Ottawa,07. Experiential learning,0,19352533,18854179,23193959,25363849,"Saturday November 28, 2020"
University of Ottawa,08. Research revenue attracted from private sector sources,0,4838133,6284726,7731320,8454616,"Saturday November 28, 2020"
University of Ottawa,09. Graduate employment earnings,0,4838133,6284726,7731320,8454616,"Saturday November 28, 2020"
University of Ottawa,10. Skills and competencies,0,0,6284726,7731320,8454616,"Saturday November 28, 2020"
University of Toronto,01. Graduate employment rate in a related field,16812647,11768853,15131383,18493912,20175177,"Saturday November 28, 2020"
University of Toronto,02. Institutional strength and focus,25218971,35306560,45394148,55481737,60525531,"Saturday November 28, 2020"
University of Toronto,03. Graduation rate,25218971,23537706,30262765,36987824,40350354,"Saturday November 28, 2020"
University of Toronto,04. Community and local impact of student enrolment,25218971,23537706,30262765,36987824,40350354,"Saturday November 28, 2020"
University of Toronto,05. Economic impact (institution-specific),33625295,35306560,45394148,55481737,60525531,"Saturday November 28, 2020"
University of Toronto,06. Research funding and capacity: federal tri-agency funding secured,42031619,47075413,45394148,55481737,60525531,"Saturday November 28, 2020"
University of Toronto,07. Experiential learning,0,11768853,15131383,18493912,20175177,"Saturday November 28, 2020"
University of Toronto,08. Research revenue attracted from private sector sources,0,35306560,45394148,55481737,60525531,"Saturday November 28, 2020"
University of Toronto,09. Graduate employment earnings,0,11768853,15131383,18493912,20175177,"Saturday November 28, 2020"
University of Toronto,10. Skills and competencies,0,0,15131383,18493912,20175177,"Saturday November 28, 2020"
University of Waterloo,01. Graduate employment rate in a related field,18840007,21980008,28260010,34540012,37680014,"Saturday November 28, 2020"
University of Waterloo,02. Institutional strength and focus,6280002,4396002,5652002,6908002,7536003,"Saturday November 28, 2020"
University of Waterloo,03. Graduation rate,9420003,8792003,11304004,13816005,15072005,"Saturday November 28, 2020"
University of Waterloo,04. Community and local impact of student enrolment,9420003,8792003,11304004,13816005,15072005,"Saturday November 28, 2020"
University of Waterloo,05. Economic impact (institution-specific),9420003,4396002,5652002,6908002,7536003,"Saturday November 28, 2020"
University of Waterloo,06. Research funding and capacity: federal tri-agency funding secured,9420003,8792003,11304004,13816005,15072005,"Saturday November 28, 2020"
University of Waterloo,07. Experiential learning,0,13188005,16956006,20724007,22608008,"Saturday November 28, 2020"
University of Waterloo,08. Research revenue attracted from private sector sources,0,4396002,5652002,6908002,7536003,"Saturday November 28, 2020"
University of Waterloo,09. Graduate employment earnings,0,13188005,11304004,13816005,15072005,"Saturday November 28, 2020"
University of Waterloo,10. Skills and competencies,0,0,5652002,6908002,7536003,"Saturday November 28, 2020"
University of Windsor,01. Graduate employment rate in a related field,2356692,1649685,2121023,2592362,2828031,"Saturday November 28, 2020"
University of Windsor,02. Institutional strength and focus,5891731,6598739,8484093,10369447,11312124,"Saturday November 28, 2020"
University of Windsor,03. Graduation rate,2356692,1649685,2121023,2592362,2828031,"Saturday November 28, 2020"
University of Windsor,04. Community and local impact of student enrolment,8248424,9898108,10605116,12961809,14140155,"Saturday November 28, 2020"
University of Windsor,05. Economic impact (institution-specific),2356692,6598739,8484093,10369447,11312124,"Saturday November 28, 2020"
University of Windsor,06. Research funding and capacity: federal tri-agency funding secured,2356692,1649685,2121023,2592362,2828031,"Saturday November 28, 2020"
University of Windsor,07. Experiential learning,0,1649685,2121023,2592362,2828031,"Saturday November 28, 2020"
University of Windsor,08. Research revenue attracted from private sector sources,0,1649685,2121023,2592362,2828031,"Saturday November 28, 2020"
University of Windsor,09. Graduate employment earnings,0,1649685,2121023,2592362,2828031,"Saturday November 28, 2020"
University of Windsor,10. Skills and competencies,0,0,2121023,2592362,,"Saturday November 28, 2020"
Western University,01. Graduate employment rate in a related field,7454539,5323151,6844052,8364952,9125402,"Saturday November 28, 2020"
Western University,02. Institutional strength and focus,11181808,10646303,13688104,16729904,18250805,"Saturday November 28, 2020"
Western University,03. Graduation rate,22363616,26615757,34220259,41824761,45627012,"Saturday November 28, 2020"
Western University,04. Community and local impact of student enrolment,7454539,5323151,6844052,8364952,9125402,"Saturday November 28, 2020"
Western University,05. Economic impact (institution-specific),7454539,5323151,6844052,8364952,9125402,"Saturday November 28, 2020"
Western University,06. Research funding and capacity: federal tri-agency funding secured,18636347,26615757,27376207,33459809,36501609,"Saturday November 28, 2020"
Western University,07. Experiential learning,0,15969454,20532155,25094856,27376207,"Saturday November 28, 2020"
Western University,08. Research revenue attracted from private sector sources,0,5323151,6844052,8364952,9125402,"Saturday November 28, 2020"
Western University,09. Graduate employment earnings,0,5323151,6844052,8364952,9125402,"Saturday November 28, 2020"
Western University,10. Skills and competencies,0,0,6844052,8364952,9125402,"Saturday November 28, 2020"
Wilfrid Laurier University,01. Graduate employment rate in a related field,2420660,1775668,2341023,2905070,3169167,"Saturday November 28, 2020"
Wilfrid Laurier University,02. Institutional strength and focus,4841320,5327005,7023070,8715210,9507502,"Saturday November 28, 2020"
Wilfrid Laurier University,03. Graduation rate,2420660,1775668,2341023,2905070,3169167,"Saturday November 28, 2020"
Wilfrid Laurier University,04. Community and local impact of student enrolment,7261980,7102673,7023070,8715210,9507502,"Saturday November 28, 2020"
Wilfrid Laurier University,05. Economic impact (institution-specific),3630990,5327005,7023070,8715210,9507502,"Saturday November 28, 2020"
Wilfrid Laurier University,06. Research funding and capacity: federal tri-agency funding secured,3630990,3551337,4682047,5810140,6338335,"Saturday November 28, 2020"
Wilfrid Laurier University,07. Experiential learning,0,5327005,7023070,8715210,9507502,"Saturday November 28, 2020"
Wilfrid Laurier University,08. Research revenue attracted from private sector sources,0,1775668,2341023,2905070,3169167,"Saturday November 28, 2020"
Wilfrid Laurier University,09. Graduate employment earnings,0,3551337,4682047,5810140,6338335,"Saturday November 28, 2020"
Wilfrid Laurier University,10. Skills and competencies,0,0,2341023,2905070,3169167,"Saturday November 28, 2020"
York University,01. Graduate employment rate in a related field,7384575,5169203,6646118,8123033,8861491,"Saturday November 28, 2020"
York University,02. Institutional strength and focus,14769151,15507608,15950683,19495279,21267577,"Saturday November 28, 2020"
York University,03. Graduation rate,7384575,5169203,6646118,8123033,8861491,"Saturday November 28, 2020"
York University,04. Community and local impact of student enrolment,14769151,15507608,19938354,24369099,26584472,"Saturday November 28, 2020"
York University,05. Economic impact (institution-specific),22153726,17575290,21267577,25993705,28356770,"Saturday November 28, 2020"
York University,06. Research funding and capacity: federal tri-agency funding secured,7384575,5169203,6646118,8123033,8861491,"Saturday November 28, 2020"
York University,07. Experiential learning,0,18609130,22596801,27618312,30129068,"Saturday November 28, 2020"
York University,08. Research revenue attracted from private sector sources,0,15507608,19938354,24369099,26584472,"Saturday November 28, 2020"
York University,09. Graduate employment earnings,0,5169203,6646118,8123033,8861491,"Saturday November 28, 2020"
York University,10. Skills and competencies,0,0,6646118,8123033,8861491,"Saturday November 28, 2020"
